# Total velocity (m/s),Air temperature (K),Air pressure (Pa),Mach number (​)
27.379,262.875,6.256e4,0.086
26.904,262.867,6.255e4,0.085
26.43,262.859,6.254e4,0.083
25.957,262.85,6.253e4,0.082
25.485,262.842,6.252e4,0.08
25.015,262.835,6.251e4,0.079
24.545,262.827,6.25e4,0.078
24.076,262.82,6.249e4,0.076
23.609,262.812,6.248e4,0.075
23.143,262.805,6.247e4,0.073
22.678,262.798,6.246e4,0.072
22.215,262.791,6.245e4,0.07
21.753,262.785,6.245e4,0.069
21.292,262.778,6.244e4,0.068
20.834,262.772,6.243e4,0.067
20.376,262.765,6.242e4,0.065
19.921,262.759,6.241e4,0.064
19.468,262.754,6.241e4,0.062
19.016,262.748,6.24e4,0.061
18.567,262.742,6.239e4,0.06
18.12,262.737,6.238e4,0.058
17.675,262.732,6.238e4,0.057
17.233,262.726,6.237e4,0.056
16.794,262.722,6.237e4,0.055
16.357,262.717,6.236e4,0.054
15.924,262.712,6.235e4,0.052
15.495,262.708,6.235e4,0.051
15.069,262.703,6.234e4,0.05
14.647,262.699,6.234e4,0.048
14.229,262.695,6.233e4,0.047
13.816,262.691,6.233e4,0.046
13.408,262.688,6.232e4,0.045
13.006,262.684,6.232e4,0.043
12.61,262.681,6.231e4,0.042
12.221,262.678,6.231e4,0.041
11.838,262.675,6.231e4,0.04
11.464,262.672,6.23e4,0.039
11.099,262.669,6.23e4,0.038
10.743,262.667,6.23e4,0.037
10.398,262.664,6.229e4,0.036
10.064,262.662,6.229e4,0.035
9.743,262.66,6.229e4,0.034
9.436,262.658,6.228e4,0.034
9.144,262.656,6.228e4,0.033
8.869,262.655,6.228e4,0.033
8.612,262.653,6.228e4,0.032
8.374,262.652,6.228e4,0.031
8.158,262.651,6.228e4,0.031
7.966,262.65,6.227e4,0.03
7.797,262.649,6.227e4,0.029
7.656,262.648,6.227e4,0.029
7.541,262.648,6.227e4,0.029
7.455,262.647,6.227e4,0.029
7.399,262.647,6.227e4,0.028
7.373,262.647,6.227e4,0.028
7.385,262.647,6.227e4,0.028
9.143,262.647,6.227e4,0.028
9.257,262.647,6.227e4,0.028
10.641,262.653,6.228e4,0.029
12.151,262.668,6.23e4,0.034
13.313,262.685,6.232e4,0.037
14.384,262.706,6.235e4,0.041
15.294,262.728,6.237e4,0.044
16.118,262.754,6.241e4,0.047
16.882,262.785,6.245e4,0.05
17.545,262.822,6.249e4,0.052
17.956,262.871,6.255e4,0.054
18.192,262.928,6.263e4,0.055
18.322,262.986,6.27e4,0.056
18.384,263.045,6.278e4,0.056
18.421,263.105,6.285e4,0.057
18.425,263.165,6.293e4,0.057
18.427,263.224,6.3e4,0.057
18.419,263.284,6.308e4,0.057
18.413,263.344,6.316e4,0.057
18.407,263.404,6.323e4,0.057
18.398,263.464,6.331e4,0.057
18.389,263.524,6.338e4,0.057
18.38,263.583,6.346e4,0.056
18.371,263.643,6.353e4,0.056
18.363,263.703,6.361e4,0.056
18.355,263.763,6.369e4,0.056
18.345,263.822,6.376e4,0.056
18.336,263.882,6.384e4,0.056
18.328,263.942,6.391e4,0.056
18.319,264.001,6.399e4,0.056
18.31,264.061,6.406e4,0.056
18.301,264.12,6.414e4,0.056
18.293,264.18,6.422e4,0.056
18.284,264.239,6.429e4,0.056
18.275,264.299,6.437e4,0.056
18.267,264.358,6.444e4,0.056
18.258,264.417,6.452e4,0.056
18.249,264.477,6.459e4,0.056
18.241,264.536,6.467e4,0.056
18.232,264.595,6.474e4,0.056
18.224,264.655,6.482e4,0.056
18.215,264.714,6.489e4,0.056
18.207,264.773,6.497e4,0.056
18.199,264.832,6.504e4,0.056
18.19,264.891,6.512e4,0.056
18.182,264.951,6.519e4,0.056
18.173,265.01,6.527e4,0.056
18.165,265.069,6.534e4,0.056
18.156,265.128,6.542e4,0.056
18.148,265.187,6.549e4,0.056
18.14,265.246,6.557e4,0.056
18.131,265.305,6.564e4,0.056
18.123,265.364,6.572e4,0.056
18.114,265.423,6.579e4,0.055
18.106,265.481,6.587e4,0.055
18.098,265.54,6.595e4,0.055
18.088,265.599,6.603e4,0.055
18.08,265.658,6.611e4,0.055
18.071,265.717,6.619e4,0.055
18.062,265.775,6.627e4,0.055
18.054,265.834,6.634e4,0.055
